,doc,subtopic,topic
36435,Kasumigaseki,Tokyo subway sarin attack,Terrorist Attack
36436,Osaka school massacre,Tokyo subway sarin attack,Terrorist Attack
36437,Heisei,Tokyo subway sarin attack,Terrorist Attack
36438,Somersault (novel),Tokyo subway sarin attack,Terrorist Attack
36439,Matsumoto sarin attack,Tokyo subway sarin attack,Terrorist Attack
36440,International counter-terrorism activities of the CIA,Tokyo subway sarin attack,Terrorist Attack
36441,Sakamoto family murder,Tokyo subway sarin attack,Terrorist Attack
36443,Irish Rebellion of 1798,Dunlavin Green executions,Civilian Attack
36444,Dunlavin Green,Dunlavin Green executions,Civilian Attack
36445,History of Ireland (1691–1800),Dunlavin Green executions,Civilian Attack
36446,Sectarianism,Dunlavin Green executions,Civilian Attack
36447,Michael V. Ciresi,Bhopal disaster,News Event
36448,Sabyasachi Mukharji,Bhopal disaster,News Event
36449,Live Earth,Bhopal disaster,News Event
36450,Tomas Tranströmer,Bhopal disaster,News Event
36451,Rashida Bee,Bhopal disaster,News Event
36452,Vinod Raina,Bhopal disaster,News Event
36453,Bhopal Stiffs,Bhopal disaster,News Event
36454,Joel Kovel,Bhopal disaster,News Event
36456,Five past Midnight in Bhopal,Bhopal disaster,News Event
36457,Dilip Mehta (director),Bhopal disaster,News Event
36458,Maharaja Krishna Rasgotra,Bhopal disaster,News Event
36459,Nuclear Liability Act,Bhopal disaster,News Event
36460,John F. Keenan,Bhopal disaster,News Event
36461,Sightsavers,Bhopal disaster,News Event
36462,Chemophobia,Bhopal disaster,News Event
36463,High reliability organization,Bhopal disaster,News Event
36464,Cosmology episode,Bhopal disaster,News Event
36465,Pradeep Rohatgi,Bhopal disaster,News Event
36466,Craig Mazin,Bhopal disaster,News Event
36467,Champa Devi Shukla,Bhopal disaster,News Event
36468,Shiv Pande,Bhopal disaster,News Event
36469,Anil Sadgopal,Bhopal disaster,News Event
36470,Environmental movement,Bhopal disaster,News Event
36471,National Disaster Response Force,Bhopal disaster,News Event
36472,Animal's People,Bhopal disaster,News Event
36473,Public Eye on Davos,Bhopal disaster,News Event
36474,Mechanosynthesis,Bhopal disaster,News Event
36475,2012–13 Stratfor email leak,Bhopal disaster,News Event
36476,Shyam Swarup Agarwal,Bhopal disaster,News Event
36477,Carbaryl,Bhopal disaster,News Event
36478,Amit Sood,Bhopal disaster,News Event
36479,Lalit Shastri,Bhopal disaster,News Event
36480,Sofia Ashraf,Bhopal disaster,News Event
36481,Amulya Malladi,Bhopal disaster,News Event
36482,Ward Morehouse (activist),Bhopal disaster,News Event
36483,Eco-socialism,Bhopal disaster,News Event
36485,Khan Shakir Ali Khan,Bhopal disaster,News Event
36486,Arjun Singh,Bhopal disaster,News Event
36487,Ett liv med dej,Melodifestivalen 1991,Festival
36488,Towe Jaarnek,Melodifestivalen 1991,Festival
36489,History of Melodifestivalen,Melodifestivalen 1991,Festival
36490,Sharon Dyall,Melodifestivalen 1991,Festival
36491,APEC Papua New Guinea 2018,Thirteenth East Asia Summit,Meetings
36492,2009–10 Drake Bulldogs men's basketball team,2010 Missouri Valley Conference Men's Basketball Tournament,Concert
36493,2009–10 Northern Iowa Panthers men's basketball team,2010 Missouri Valley Conference Men's Basketball Tournament,Concert
36494,2009–10 Creighton Bluejays men's basketball team,2010 Missouri Valley Conference Men's Basketball Tournament,Concert
36495,Ana Cabrera,High Park fire,News Event
36496,Fourmile Canyon,High Park fire,News Event
36497,Selina Chow,Henry Tang illegal basement controversy,News Event
36498,Hong Kong new year marches,Henry Tang illegal basement controversy,News Event
36499,Liberal Party (Hong Kong),Henry Tang illegal basement controversy,News Event
36500,Lew Mon-hung,Henry Tang illegal basement controversy,News Event
36501,Knife attack on Kevin Lau,Henry Tang illegal basement controversy,News Event
36502,2012 Hong Kong Chief Executive election,Henry Tang illegal basement controversy,News Event
36504,Tomomi Okazaki,2010 Winter Olympics opening ceremony,News Event
36505,Olympic Games ceremony,2010 Winter Olympics opening ceremony,News Event
36508,Shane Koyczan,2010 Winter Olympics opening ceremony,News Event
36509,Dias Keneshev,2010 Winter Olympics opening ceremony,News Event
36510,Alisher Qudratov,2010 Winter Olympics opening ceremony,News Event
36511,Whistler Sliding Centre,2010 Winter Olympics opening ceremony,News Event
36513,Matt Lauer,2010 Winter Olympics opening ceremony,News Event
36514,Jacques Villeneuve,2010 Winter Olympics opening ceremony,News Event
36515,"Albert II, Prince of Monaco",2010 Winter Olympics opening ceremony,News Event
36516,Measha Brueggergosman,2010 Winter Olympics opening ceremony,News Event
36517,Bryan Adams,2010 Winter Olympics opening ceremony,News Event
36518,Chasse-galerie,2010 Winter Olympics opening ceremony,News Event
36519,Concerns and controversies at the 2010 Winter Olympics,2010 Winter Olympics opening ceremony,News Event
36520,China at the 2010 Winter Olympics,2010 Winter Olympics opening ceremony,News Event
36521,K.d. lang,2010 Winter Olympics opening ceremony,News Event
36522,Bobby Orr,2010 Winter Olympics opening ceremony,News Event
36523,"Haakon, Crown Prince of Norway",2010 Winter Olympics opening ceremony,News Event
36524,Roméo Dallaire,2010 Winter Olympics opening ceremony,News Event
36525,Garou (singer),2010 Winter Olympics opening ceremony,News Event
36526,Trevor Linden,2010 Winter Olympics opening ceremony,News Event
36527,Gordon Campbell,2010 Winter Olympics opening ceremony,News Event
36528,NRK1,2010 Winter Olympics opening ceremony,News Event
36529,Nodar Kumaritashvili,2010 Winter Olympics opening ceremony,News Event
36530,Terry Fox,2010 Winter Olympics opening ceremony,News Event
36531,Kevin van der Perren,2010 Winter Olympics opening ceremony,News Event
36532,Barbara Ann Scott,2010 Winter Olympics opening ceremony,News Event
36533,Charlotte's Web (2006 film),2010 Winter Olympics opening ceremony,News Event
36534,2010 Winter Olympics,2010 Winter Olympics opening ceremony,News Event
36535,Marjan Kalhor,2010 Winter Olympics opening ceremony,News Event
36536,Oleg Shamaev,2010 Winter Olympics opening ceremony,News Event
36537,We Are the World 25 for Haiti,2010 Winter Olympics opening ceremony,News Event
36538,Mark Grimmette,2010 Winter Olympics opening ceremony,News Event
36539,Clara Hughes,2010 Winter Olympics opening ceremony,News Event
36540,Theodosius and Saint Ambrose (Rubens),Massacre of Thessalonica,Civilian Attack
36541,Classical Anatolia,Massacre of Thessalonica,Civilian Attack
36542,Thessaloniki,Massacre of Thessalonica,Civilian Attack
36543,History of Thessaloniki,Massacre of Thessalonica,Civilian Attack
36544,Butheric,Massacre of Thessalonica,Civilian Attack
36545,Saint Ambrose barring Theodosius from Milan Cathedral,Massacre of Thessalonica,Civilian Attack
36546,Erik Lewander,Melodifestivalen 2010,Festival
36547,Jessica Andersson,Melodifestivalen 2010,Festival
36548,Johannes Bah Kuhnke,Melodifestivalen 2010,Festival
36549,Christine Meltzer,Melodifestivalen 2010,Festival
36550,Iron Maiden,Virtual XI World Tour,Concert
36551,Virtual XI,Virtual XI World Tour,Concert
36552,2013–14 Houston Baptist Huskies men's basketball team,2014 Southland Conference Men's Basketball Tournament,Concert
36553,2013–14 Southeastern Louisiana Lions basketball team,2014 Southland Conference Men's Basketball Tournament,Concert
36554,2013–14 Stephen F. Austin Lumberjacks basketball team,2014 Southland Conference Men's Basketball Tournament,Concert
36555,2013–14 Central Arkansas Bears basketball team,2014 Southland Conference Men's Basketball Tournament,Concert
36556,2007–08 Southeastern Conference women's basketball season,2008 SEC Women's Basketball Tournament,Concert
36557,LSU Lady Tigers basketball,2008 SEC Women's Basketball Tournament,Concert
36558,Phil Goss,2003 CAA Men's Basketball Tournament,Concert
36559,2002–03 William & Mary Tribe men's basketball team,2003 CAA Men's Basketball Tournament,Concert
36560,Mando Ramos,Dominicana DC-9 air disaster,News Event
36561,Rafael Ithier,Dominicana DC-9 air disaster,News Event
36562,Leo Cruz,Dominicana DC-9 air disaster,News Event
36563,Antonio Imbert Barrera,Dominicana DC-9 air disaster,News Event
36564,Carlos Cruz (boxer),Dominicana DC-9 air disaster,News Event
36565,Las Américas International Airport,Dominicana DC-9 air disaster,News Event
36566,Capital punishment,2014 Peshawar school massacre,Civilian Attack
36567,China–Pakistan Economic Corridor,2014 Peshawar school massacre,Civilian Attack
36568,National Action Plan (Pakistan),2014 Peshawar school massacre,Civilian Attack
36569,Tahira Qazi,2014 Peshawar school massacre,Civilian Attack
36570,Afghans in Pakistan,2014 Peshawar school massacre,Civilian Attack
36571,Mian Saqib Nisar,2014 Peshawar school massacre,Civilian Attack
36572,Pakistan Army Retribution,2014 Peshawar school massacre,Civilian Attack
36573,Mohammad Jibran Nasir,2014 Peshawar school massacre,Civilian Attack
36574,Rebel Heart,2014 Peshawar school massacre,Civilian Attack
36575,Khyber Pakhtunkhwa,2014 Peshawar school massacre,Civilian Attack
36576,Akhlas Akhlaq,2014 Peshawar school massacre,Civilian Attack
36577,Peshawar Zalmi,2014 Peshawar school massacre,Civilian Attack
36578,Sartaj Aziz,2014 Peshawar school massacre,Civilian Attack
36579,Afghan refugees,2014 Peshawar school massacre,Civilian Attack
36580,Tehrik-i-Taliban Pakistan,2014 Peshawar school massacre,Civilian Attack
36581,Fawad Khan,2014 Peshawar school massacre,Civilian Attack
36582,The Survivor (2016 film),2014 Peshawar school massacre,Civilian Attack
36583,General Debate of the seventy-third session of the United Nations General Assembly,2014 Peshawar school massacre,Civilian Attack
36584,2012–13 Loyola Ramblers men's basketball team,2013 Horizon League Men's Basketball Tournament,Concert
36585,2012–13 Youngstown State Penguins men's basketball team,2013 Horizon League Men's Basketball Tournament,Concert
36586,2012–13 UIC Flames men's basketball team,2013 Horizon League Men's Basketball Tournament,Concert
36587,2012–13 Valparaiso Crusaders men's basketball team,2013 Horizon League Men's Basketball Tournament,Concert
36588,Quinnel Brown,2005 SEC Men's Basketball Tournament,Concert
36589,David Lee (basketball),2005 SEC Men's Basketball Tournament,Concert
36590,Al Horford,2005 SEC Men's Basketball Tournament,Concert
36591,Battle of Vukovar,Dalj massacre,Civilian Attack
36592,Jovica Stanišić,Dalj massacre,Civilian Attack
36593,Erdut killings,Dalj massacre,Civilian Attack
36594,Dalj,Dalj massacre,Civilian Attack
36595,Goran Hadžić,Dalj massacre,Civilian Attack
36596,Gordana Suša,Dalj massacre,Civilian Attack
36597,Croatian War of Independence,Dalj massacre,Civilian Attack
36598,Miss Teen USA 2009,Miss Teen USA 2008,Beauty Pageant
36599,Stevi Perry,Miss Teen USA 2008,Beauty Pageant
36600,Shelley Hennig,Miss Teen USA 2008,Beauty Pageant
36601,Elle Evans,Miss Teen USA 2008,Beauty Pageant
36602,Dick Tracy (1990 film),44th British Academy Film Awards,Awards
36603,Mark Wadlow,44th British Academy Film Awards,Awards
36604,Born on the Fourth of July (film),44th British Academy Film Awards,Awards
36605,Dear Rosie,44th British Academy Film Awards,Awards
36606,Homi Maneck Mehta,Pan Am Flight 1-10,Airliner Accident
36607,Greg Grainger,Logie Awards of 1973,Awards
36608,Sikorsky S-42,Samoan Clipper,Airliner Accident
36609,Ed Musick,Samoan Clipper,Airliner Accident
36610,China Clipper flight departure site,Samoan Clipper,Airliner Accident
36611,American Samoa,Samoan Clipper,Airliner Accident
36612,La buona battaglia – Don Pietro Pappagallo,Ardeatine massacre,Civilian Attack
36613,Paul Hofmann,Ardeatine massacre,Civilian Attack
36614,Pope Pius XII,Ardeatine massacre,Civilian Attack
36615,Massacre in Rome,Ardeatine massacre,Civilian Attack
36616,Giacomo Debenedetti,Ardeatine massacre,Civilian Attack
36617,Ten Italians for One German,Ardeatine massacre,Civilian Attack
36618,Herbert Kappler,Ardeatine massacre,Civilian Attack
36619,Luca Cordero di Montezemolo,Ardeatine massacre,Civilian Attack
36620,Uki Goñi,Ardeatine massacre,Civilian Attack
36621,Pietro Pappagallo,Ardeatine massacre,Civilian Attack
36622,Tulle massacre,Ardeatine massacre,Civilian Attack
36623,Alfred Hayes (writer),Ardeatine massacre,Civilian Attack
36624,Roma Ostiense railway station,Ardeatine massacre,Civilian Attack
36625,Bas Eenhoorn,Alphen aan den Rijn shopping mall shooting,Civilian Attack
36626,The Rolling Stones,The Rolling Stones European Tour 1973,Concert
36627,Time Waits for No One (song),The Rolling Stones European Tour 1973,Concert
36628,Michael Putland,The Rolling Stones European Tour 1973,Concert
36629,100 Years Ago,The Rolling Stones European Tour 1973,Concert
36630,That's the Way God Planned It (song),The Rolling Stones European Tour 1973,Concert
36632,Brussels Affair (Live 1973),The Rolling Stones European Tour 1973,Concert
36634,Dancing with Mr. D,The Rolling Stones European Tour 1973,Concert
36635,Mick Taylor,The Rolling Stones European Tour 1973,Concert
36636,Emiler Goenda Bahini,6th Bangladesh National Film Awards,Awards
36637,Ghuddi,6th Bangladesh National Film Awards,Awards
36638,Darb-e Astaneh Khalid Ebn Ali,2006 Borujerd earthquake,Earthquake
36639,1909 Borujerd earthquake,2006 Borujerd earthquake,Earthquake
36640,Jameh Mosque of Borujerd,2006 Borujerd earthquake,Earthquake
36641,Soltani Mosque of Borujerd,2006 Borujerd earthquake,Earthquake
36642,Silakhor Plain,2006 Borujerd earthquake,Earthquake
36643,Desde Andalucía,Premio Lo Nuestro 1989,Awards
36644,"Armenia, Colombia","1999 Armenia, Colombia earthquake",Earthquake
36645,Córdoba-Navarco Fault,"1999 Armenia, Colombia earthquake",Earthquake
36646,El Edén International Airport,"1999 Armenia, Colombia earthquake",Earthquake
36647,Romeral Fault System,"1999 Armenia, Colombia earthquake",Earthquake
36649,Heartbreakers (1984 film),35th Berlin International Film Festival,Festival
36650,Jo Kennedy,35th Berlin International Film Festival,Festival
36651,Daengbyeot,35th Berlin International Film Festival,Festival
36652,Fernando Fernán Gómez,35th Berlin International Film Festival,Festival
36653,1980 Soviet nuclear tests,1979 Soviet nuclear tests,Weapons Test
36654,1978 Soviet nuclear tests,1979 Soviet nuclear tests,Weapons Test
36655,Minnesota Fringe Festival,San Francisco Fringe Festival,Festival
36656,Bridgit Mendler,San Francisco Fringe Festival,Festival
36657,ACARS,EgyptAir Flight 804,Airliner Accident
36658,RFA Lyme Bay (L3007),EgyptAir Flight 804,Airliner Accident
36659,French ship Laplace (A 793),EgyptAir Flight 804,Airliner Accident
36660,Quinn Shephard,29th Young Artist Awards,Awards
36661,Nicole Muñoz,29th Young Artist Awards,Awards
36662,Psych (season 1),29th Young Artist Awards,Awards
36663,The Haunting Hour: Don't Think About It,29th Young Artist Awards,Awards
36664,All Day (Kanye West song),58th Annual Grammy Awards,Awards
36665,Cécile McLorin Salvant,58th Annual Grammy Awards,Awards
36666,Blank Space,58th Annual Grammy Awards,Awards
36667,Jazmine Sullivan,58th Annual Grammy Awards,Awards
36668,Kendrick Lamar,58th Annual Grammy Awards,Awards
36669,Liquor Store Blues,58th Annual Grammy Awards,Awards
36670,Disclosure (band),58th Annual Grammy Awards,Awards
36671,Living It (album),58th Annual Grammy Awards,Awards
36672,August Burns Red,58th Annual Grammy Awards,Awards
36673,Out of the Woods (song),58th Annual Grammy Awards,Awards
36674,Bad Blood (Taylor Swift song),58th Annual Grammy Awards,Awards
36675,You're Dead!,58th Annual Grammy Awards,Awards
36676,"John Cougar, John Deere, John 3:16",58th Annual Grammy Awards,Awards
36677,Caracal (album),58th Annual Grammy Awards,Awards
36678,Ripcord (album),58th Annual Grammy Awards,Awards
36679,John Primer,58th Annual Grammy Awards,Awards
36680,Isabel Leonard,58th Annual Grammy Awards,Awards
36681,Jennifer Decilveo,58th Annual Grammy Awards,Awards
36682,Untitled Unmastered,58th Annual Grammy Awards,Awards
36683,Trap Queen,58th Annual Grammy Awards,Awards
36684,Daddy Kev,58th Annual Grammy Awards,Awards
36685,Béla Fleck & Abigail Washburn,58th Annual Grammy Awards,Awards
36686,Wolf Alice,58th Annual Grammy Awards,Awards
36687,Amy Hobby,58th Annual Grammy Awards,Awards
36688,Nicki Minaj,58th Annual Grammy Awards,Awards
36689,Flying Lotus,58th Annual Grammy Awards,Awards
36690,Born to Play Guitar,58th Annual Grammy Awards,Awards
36691,Cinemalaya Philippine Independent Film Festival,6th Cinemalaya Independent Film Festival,Festival
36692,Lovi Poe,6th Cinemalaya Independent Film Festival,Festival
36693,Surat Thani International Airport,Thai Airways International Flight 261,Airliner Accident
36694,Ruangsak Loychusak,Thai Airways International Flight 261,Airliner Accident
36695,Paul D. Stroop,Second Quebec Conference,Meetings
36696,Morgenthau Plan,Second Quebec Conference,Meetings
36697,Quebec City,Second Quebec Conference,Meetings
36698,Winston Churchill,Second Quebec Conference,Meetings
36699,Lynde D. McCormick,Second Quebec Conference,Meetings
36700,"Alexander Cambridge, 1st Earl of Athlone",Second Quebec Conference,Meetings
36701,Tiger Force (air),Second Quebec Conference,Meetings
36702,Tribal-class destroyer (1936),Second Quebec Conference,Meetings
36703,"Princess Alice, Countess of Athlone",Second Quebec Conference,Meetings
36704,Henry Morgenthau Jr.,Second Quebec Conference,Meetings
36706,History of Quebec City,Second Quebec Conference,Meetings
36707,George Mallaby (public servant),Second Quebec Conference,Meetings
36708,United States Marine Corps Amphibious Reconnaissance Battalion,Second Quebec Conference,Meetings
36709,Rebellion Losses Bill,Burning of the Parliament Buildings in Montreal,News Event
36710,Montreal Gazette,Burning of the Parliament Buildings in Montreal,News Event
36711,Notre-Dame Street,Burning of the Parliament Buildings in Montreal,News Event
36712,History of Montreal,Burning of the Parliament Buildings in Montreal,News Event
36713,Notman House,Burning of the Parliament Buildings in Montreal,News Event
36715,Parliament of Canada,Burning of the Parliament Buildings in Montreal,News Event
36716,Ottawa,Burning of the Parliament Buildings in Montreal,News Event
36717,Place d'Youville,Burning of the Parliament Buildings in Montreal,News Event
36718,St. Anne's Market,Burning of the Parliament Buildings in Montreal,News Event
36720,Donegana's Hotel,Burning of the Parliament Buildings in Montreal,News Event
36721,Montreal,Burning of the Parliament Buildings in Montreal,News Event
36722,History of Canada,Burning of the Parliament Buildings in Montreal,News Event
36723,Old Montreal,Burning of the Parliament Buildings in Montreal,News Event
36724,Republic of Lower Canada,Burning of the Parliament Buildings in Montreal,News Event
36725,Golden Square Mile,Burning of the Parliament Buildings in Montreal,News Event
36726,Henry Morgan Building,Burning of the Parliament Buildings in Montreal,News Event
36727,Bartholomew Gugy,Burning of the Parliament Buildings in Montreal,News Event
36728,"James Bruce, 8th Earl of Elgin",Burning of the Parliament Buildings in Montreal,News Event
36729,Stony Monday Riot,Burning of the Parliament Buildings in Montreal,News Event
36730,Robert Baldwin,Burning of the Parliament Buildings in Montreal,News Event
36731,United Airlines Flight 93,Delta Air Lines Flight 1989,Airliner Accident
36732,El Amor (Tito El Bambino song),10th Annual Latin Grammy Awards,Awards
36733,Free Tempo,10th Annual Latin Grammy Awards,Awards
36734,The Family Jewels Tour,Isle of Wight Festival 2010,Festival
36735,Doves (band),Isle of Wight Festival 2010,Festival
36736,Kieran Evans,Isle of Wight Festival 2010,Festival
36737,Sweet Dreams (Beyoncé song),Isle of Wight Festival 2010,Festival
36738,"Livadica, Podujevo",Podujevo bus bombing,Terrorist Attack
36739,Insurgency in the Preševo Valley,Podujevo bus bombing,Terrorist Attack
36740,Podujevo,Podujevo bus bombing,Terrorist Attack
36741,2016–17 USC Trojans men's basketball team,2017 Pac-12 Conference Men's Basketball Tournament,Concert
36742,Kobi Simmons,2017 Pac-12 Conference Men's Basketball Tournament,Concert
36743,2017–18 UCLA Bruins men's basketball team,2017 Pac-12 Conference Men's Basketball Tournament,Concert
36744,Isaac Hamilton,2017 Pac-12 Conference Men's Basketball Tournament,Concert
36745,2016–17 Pac-12 Conference men's basketball season,2017 Pac-12 Conference Men's Basketball Tournament,Concert
36746,2017–18 Washington Huskies men's basketball team,2017 Pac-12 Conference Men's Basketball Tournament,Concert
36747,2017–18 Colorado Buffaloes men's basketball team,2017 Pac-12 Conference Men's Basketball Tournament,Concert
36748,Tyler Dorsey,2017 Pac-12 Conference Men's Basketball Tournament,Concert
36749,Pacific Air Lines,Pacific Air Lines Flight 773,Airliner Accident
36750,Julie Clark,Pacific Air Lines Flight 773,Airliner Accident
36751,Aviation insurance,Pacific Air Lines Flight 773,Airliner Accident
36752,Mia Krifi Evesthisia,(I Would) Die for You,Contest
36753,Me Logia Ellinika,(I Would) Die for You,Contest
36754,Air Philippines Flight 541,Indian Airlines Flight 113,Airliner Accident
36755,"Merci, Chérie",Eurovision Song Contest 1967,Contest
36756,Die Zeiger der Uhr,Eurovision Song Contest 1967,Contest
36757,Wiedehopf Im Mai – Sandie Shaw Singt Auf Deutsch,Eurovision Song Contest 1967,Contest
36758,Puppet on a String,Eurovision Song Contest 1967,Contest
36759,1967 in Portugal,Eurovision Song Contest 1967,Contest
36760,Rolf Harris,Eurovision Song Contest 1967,Contest
36761,Östen Warnerbring,Eurovision Song Contest 1967,Contest
36762,"Sing, Little Birdie",Eurovision Song Contest 1967,Contest
36763,Hofburg,Eurovision Song Contest 1967,Contest
36764,Alfie (Lily Allen song),Eurovision Song Contest 1967,Contest
36765,Fredi (singer),Eurovision Song Contest 1967,Contest
36766,Sweden in the Eurovision Song Contest 1967,Eurovision Song Contest 1967,Contest
36767,Eurovision Song Contest 1968,Eurovision Song Contest 1967,Contest
36768,Eduardo Nascimento,Eurovision Song Contest 1967,Contest
36770,Inge Brück,Eurovision Song Contest 1967,Contest
36771,Nygammal vals,Eurovision Song Contest 1967,Contest
36772,Géraldine Gaulier,Eurovision Song Contest 1967,Contest
36773,Ele e ela,Eurovision Song Contest 1967,Contest
36774,Mary Mitchell O'Connor,2016 Irish government formation,News Event
36775,Leo Varadkar,2016 Irish government formation,News Event
36776,James Reilly (Irish politician),2016 Irish government formation,News Event
36777,Mary Harney,2016 Irish government formation,News Event
36778,Heather Humphreys,2016 Irish government formation,News Event
36779,2016 Irish general election,2016 Irish government formation,News Event
36780,Barry Cowen,2016 Irish government formation,News Event
36781,Enda Kenny,2016 Irish government formation,News Event
36782,Jim O'Callaghan,2016 Irish government formation,News Event
36783,John Halligan (politician),2016 Irish government formation,News Event
36784,Thomas Pringle (politician),2016 Irish government formation,News Event
36785,Aodhán Ó Ríordáin,2016 Irish government formation,News Event
36786,Katherine Zappone,2016 Irish government formation,News Event
36787,Blasphemy law in the Republic of Ireland,2016 Irish government formation,News Event
36788,Seán Sherlock,2016 Irish government formation,News Event
36789,Kathleen Lynch (politician),2016 Irish government formation,News Event
36790,Josepha Madigan,2016 Irish government formation,News Event
36791,Finian McGrath,2016 Irish government formation,News Event
36792,Helen McEntee,2016 Irish government formation,News Event
36793,Joan Burton,2016 Irish government formation,News Event
36794,Richard Bruton,2016 Irish government formation,News Event
36795,Fianna Fáil,2016 Irish government formation,News Event
36796,Government of the 31st Dáil,2016 Irish government formation,News Event
36797,Pakistan–Philippines relations,2015 Pakistan Army Mil Mi-17 crash,Airliner Accident
36798,Domingo Lucenario Jr.,2015 Pakistan Army Mil Mi-17 crash,Airliner Accident
36799,Burhan Muhammad,2015 Pakistan Army Mil Mi-17 crash,Airliner Accident
36800,1994–95 Idaho Vandals men's basketball team,1995 Big Sky Conference Men's Basketball Tournament,Concert
36801,TVXQ,Time: Live Tour 2013,Concert
36802,Tree (TVXQ album),Time: Live Tour 2013,Concert
36804,Tone: Live Tour 2012,Time: Live Tour 2013,Concert
36805,Tree: Live Tour 2014,Time: Live Tour 2013,Concert
36806,Druze,Qalb Loze massacre,Civilian Attack
36807,Walid Jumblatt,Qalb Loze massacre,Civilian Attack
36808,Qalb Loze,Qalb Loze massacre,Civilian Attack
36809,Druze people in Syria,Qalb Loze massacre,Civilian Attack
36811,Maribel Arrieta,Miss Universe 1955,Beauty Pageant
36812,Carol Morris,Miss Universe 1955,Beauty Pageant
36813,Miss Ecuador,Miss Universe 1955,Beauty Pageant
36814,Maureen Hingert,Miss Universe 1955,Beauty Pageant
36815,Susana Duijm,Miss Universe 1955,Beauty Pageant
36816,Isabel Sarli,Miss Universe 1955,Beauty Pageant
36817,Charles N. Brown,69th World Science Fiction Convention,Meetings
36818,67th World Science Fiction Convention,69th World Science Fiction Convention,Meetings
36819,71st World Science Fiction Convention,69th World Science Fiction Convention,Meetings
36820,George R. R. Martin,69th World Science Fiction Convention,Meetings
36821,Ellen Asher,69th World Science Fiction Convention,Meetings
36822,Saif Ali Khan,39th Filmfare Awards,Awards
36823,Anu Aggarwal,39th Filmfare Awards,Awards
36824,Baazigar,39th Filmfare Awards,Awards
36825,Kabhi Haan Kabhi Naa,39th Filmfare Awards,Awards
36826,Darr,39th Filmfare Awards,Awards
36827,Grierson (film),25th Canadian Film Awards,Awards
36828,Goodbye Sousa,25th Canadian Film Awards,Awards
36829,Slipstream (1973 film),25th Canadian Film Awards,Awards
36830,26th Canadian Film Awards,25th Canadian Film Awards,Awards
36831,Q-Bec My Love,25th Canadian Film Awards,Awards
36832,Taonere Banda,2016 Summer Paralympics opening ceremony,News Event
36833,2010 Winter Olympics opening ceremony,2016 Summer Paralympics opening ceremony,News Event
36834,Michel Temer,2016 Summer Paralympics opening ceremony,News Event
36835,Seu Jorge,2016 Summer Paralympics opening ceremony,News Event
36836,Clodoaldo Silva,2016 Summer Paralympics opening ceremony,News Event
36837,2016 Summer Paralympics torch relay,2016 Summer Paralympics opening ceremony,News Event
36838,Amy Purdy,2016 Summer Paralympics opening ceremony,News Event
36839,Ádria Santos,2016 Summer Paralympics opening ceremony,News Event
36840,Andrey Vasilyevich Fomochkin,2016 Summer Paralympics opening ceremony,News Event
36841,Krista Mørkøre,2016 Summer Paralympics opening ceremony,News Event
36842,Kidnapping and murder of Moisés Sánchez Cerezo,2014 Iguala mass kidnapping,Terrorist Attack
36843,Mexican Drug War,2014 Iguala mass kidnapping,Terrorist Attack
36844,Presidency of Andrés Manuel López Obrador,2014 Iguala mass kidnapping,Terrorist Attack
36845,Rogelio Ortega Martínez,2014 Iguala mass kidnapping,Terrorist Attack
36846,Andrés Manuel López Obrador,2014 Iguala mass kidnapping,Terrorist Attack
36848,María de los Ángeles Pineda Villa,2014 Iguala mass kidnapping,Terrorist Attack
36849,Malala Yousafzai,2014 Iguala mass kidnapping,Terrorist Attack
36850,Enrique Peña Nieto,2014 Iguala mass kidnapping,Terrorist Attack
36851,Zócalo,2014 Iguala mass kidnapping,Terrorist Attack
36852,Guerrero,2014 Iguala mass kidnapping,Terrorist Attack
36853,Murder of Vicente Bermúdez Zacarías,2014 Iguala mass kidnapping,Terrorist Attack
36854,Hasta la Raíz,2014 Iguala mass kidnapping,Terrorist Attack
36855,Iguala,2014 Iguala mass kidnapping,Terrorist Attack
36856,"Kalamazoo, Michigan",2016 Kalamazoo shootings,Civilian Attack
36857,Addicted to You (Laura Voutilainen song),Eurovision Song Contest 2000,Contest
36858,Melodifestivalen 2000,Eurovision Song Contest 2000,Contest
36859,My Star (Brainstorm song),Eurovision Song Contest 2000,Contest
36860,France in the Eurovision Song Contest 2005,Eurovision Song Contest 2000,Contest
36861,Sahlene,Eurovision Song Contest 2000,Contest
36862,Don't Play That Song Again,Eurovision Song Contest 2000,Contest
36863,Aava,Eurovision Song Contest 2000,Contest
36864,For a Thousand Years,Eurovision Song Contest 2000,Contest
36865,Denmark in the Eurovision Song Contest 1990,Eurovision Song Contest 2000,Contest
36866,Sven Stojanović,Eurovision Song Contest 2000,Contest
36867,Colgado de un sueño,Eurovision Song Contest 2000,Contest
36868,Roy Arad,Eurovision Song Contest 2000,Contest
36869,PingPong (band),Eurovision Song Contest 2000,Contest
36870,Svante Stockselius,Eurovision Song Contest 2000,Contest
36871,Eurovision Song Contest 1999,Eurovision Song Contest 2000,Contest
36873,Eamonn Toal,Eurovision Song Contest 2000,Contest
36874,Denmark in the Eurovision Song Contest 2005,Eurovision Song Contest 2000,Contest
36875,Belgium in the Eurovision Song Contest 2003,Eurovision Song Contest 2000,Contest
36876,Voice (duo),Eurovision Song Contest 2000,Contest
36877,Runaway (Sahlene song),Eurovision Song Contest 2000,Contest
